ProductionID,ProductionDate,Region,Manager,ProductType,UnitsProduced,TotalCost,Gender,True Age
48,22-09-2023,North,Jane Smith,Electronics,214,11954,Female,26
56,24-09-2023,West,Nancy Grey,Automobiles,344,13872,Female,42
74,28-09-2023,West,Laura Black,Electronics,213,42028,Female,52
30,01-10-2023,West,Emily Davis,Automobiles,290,15132,Unknown,25
46,08-10-2023,West,Andrew Blue,Automobiles,231,32045,Female,28
35,15-10-2023,West,Laura Black,Machinery,260,34680,Male,52
4,15-10-2023,West,Mike Brown,Machinery,459,17069,Unknown,57
101,16-10-2023,South,John Doe,Furniture,384,40565,Female,25
17,16-10-2023,West,Nancy Grey,Machinery,240,65052,Female,42
53,17-10-2023,East,Nancy Grey,Machinery,63,3960,Male,42
76,18-10-2023,North,John Doe,Electronics,208,25758,Unknown,25
9,18-10-2023,West,Nancy Grey,Electronics,55,25893,Male,42
40,22-10-2023,East,Laura Black,Automobiles,165,679,Male,52
47,29-10-2023,East,Mike Brown,Automobiles,288,33284,Female,57
36,31-10-2023,West,Jane Smith,Machinery,460,50274,Male,26
115,02-11-2023,West,Jane Smith,Automobiles,541,42432,Female,26
70,02-11-2023,North,Nancy Grey,Furniture,335,36984,Female,42
114,03-11-2023,North,Mike Brown,Automobiles,126,40446,Unknown,57
50,04-11-2023,North,John Doe,Furniture,177,30600,Male,25
25,05-11-2023,West,Jane Smith,Automobiles,439,31392,Male,26
116,10-11-2023,North,Andrew Blue,Furniture,666,64635,Male,28
104,13-11-2023,West,Nancy Grey,Machinery,359,12753,Male,42
67,19-11-2023,West,Jane Smith,Automobiles,511,16698,Unknown,26
34,21-11-2023,West,David White,Machinery,333,48000,Female,28
43,22-11-2023,North,Nancy Grey,Automobiles,354,679,Male,42
83,24-11-2023,West,Jane Smith,Machinery,545,65250,Female,26
20,24-11-2023,West,Nancy Grey,Electronics,331,27140,Male,42
109,26-11-2023,East,David White,Automobiles,86,25853,Female,28
108,04-12-2023,West,Nancy Grey,Automobiles,214,31122,Male,42
118,13-12-2023,West,Nancy Grey,Automobiles,289,24948,Male,42
103,14-12-2023,East,Mike Brown,Automobiles,97,679,Female,57
93,17-12-2023,South,David White,Automobiles,366,4131,Male,28
98,22-12-2023,West,Mike Brown,Machinery,222,17500,Male,57
61,26-12-2023,West,Laura Black,Automobiles,151,8475,Female,52
100,26-12-2023,West,Laura Black,Electronics,307,679,Female,52
28,26-12-2023,West,Mike Brown,Automobiles,444,7272,Male,57
90,29-12-2023,West,Jane Smith,Furniture,404,13310,Female,26
58,01-01-2024,South,Nancy Grey,Automobiles,160,59248,Female,42
97,02-01-2024,West,John Doe,Electronics,368,25254,Female,25
22,03-01-2024,West,Chris Green,Machinery,180,33684,Female,49
57,05-01-2024,West,John Doe,Furniture,255,57706,Female,25
24,05-01-2024,South,Mike Brown,Machinery,458,42873,Female,57
8,08-01-2024,West,David White,Electronics,447,52269,Male,28
21,13-01-2024,South,Nancy Grey,Machinery,250,11385,Male,42
88,14-01-2024,North,Andrew Blue,Furniture,264,75332,Female,28
119,14-01-2024,West,Mike Brown,Electronics,199,56118,Unknown,57
86,16-01-2024,South,Andrew Blue,Automobiles,60,5822,Male,28
85,18-01-2024,West,Nancy Grey,Electronics,192,18648,Female,42
16,27-01-2024,North,Jane Smith,Furniture,193,18796,Male,26
92,07-02-2024,South,John Doe,Machinery,214,4984,Male,25
87,08-02-2024,West,Nancy Grey,Furniture,209,51221,Female,42
11,13-02-2024,West,Emily Davis,Machinery,494,46767,Female,25
81,13-02-2024,East,Nancy Grey,Automobiles,32,3132,Male,42
29,17-02-2024,West,Nancy Grey,Electronics,499,48316,Female,42
96,25-02-2024,North,Andrew Blue,Automobiles,128,35088,Male,28
89,26-02-2024,West,Jane Smith,Electronics,97,679,Female,26
68,28-02-2024,South,Chris Green,Automobiles,308,27956,Unknown,49
71,28-02-2024,North,Chris Green,Furniture,95,46800,Male,49
6,28-02-2024,West,Jane Smith,Machinery,401,19691,Male,26
49,28-02-2024,South,Jane Smith,Machinery,74,36708,Male,26
62,28-02-2024,West,Mike Brown,Machinery,535,44330,Male,57
80,28-02-2024,South,Mike Brown,Machinery,380,44525,Unknown,57
52,28-02-2024,South,Nancy Grey,Machinery,343,33344,Male,42
105,28-02-2024,North,Nancy Grey,Machinery,318,16864,Male,42
72,05-03-2024,North,Nancy Grey,Furniture,218,7125,Male,42
75,06-03-2024,West,David White,Automobiles,128,679,Male,28
120,10-03-2024,East,Sarah Lee,Automobiles,497,46548,Female,36
51,13-03-2024,South,Mike Brown,Machinery,358,13568,Female,57
84,18-03-2024,West,Andrew Blue,Electronics,84,10688,Female,28
113,19-03-2024,East,Jane Smith,Automobiles,81,31414,Female,26
32,20-03-2024,East,Nancy Grey,Automobiles,389,37744,Male,42
60,21-03-2024,North,John Doe,Machinery,178,679,Male,25
117,23-03-2024,North,Jane Smith,Electronics,527,51168,Male,26
37,26-03-2024,North,Chris Green,Automobiles,145,43615,Male,49
65,27-03-2024,East,Nancy Grey,Automobiles,495,679,Male,42
1,29-03-2024,South,John Doe,Automobiles,412,22288,Female,25
18,30-03-2024,West,Chris Green,Automobiles,363,38232,Female,49
110,01-04-2024,West,Laura Black,Machinery,155,11092,Female,52
66,08-04-2024,West,Andrew Blue,Electronics,190,28050,Female,28
106,10-04-2024,South,Nancy Grey,Automobiles,51,56888,Female,42
15,16-04-2024,North,Nancy Grey,Automobiles,383,39008,Unknown,42
41,25-04-2024,West,Nancy Grey,Furniture,51,35280,Male,42
12,28-04-2024,West,Emily Davis,Automobiles,462,26145,Unknown,25
107,30-04-2024,East,Andrew Blue,Machinery,236,679,Unknown,28
2,08-05-2024,West,Laura Black,Furniture,430,66500,Female,52
33,10-05-2024,East,Emily Davis,Electronics,511,679,Female,25
42,12-05-2024,North,Nancy Grey,Automobiles,382,37490,Male,42
94,15-05-2024,North,Emily Davis,Automobiles,173,24549,Male,25
64,20-05-2024,West,John Doe,Electronics,188,679,Female,25
91,01-06-2024,North,Nancy Grey,Machinery,386,47952,Male,42
5,06-06-2024,South,Jane Smith,Machinery,178,41349,Male,26
44,08-06-2024,East,Laura Black,Furniture,368,46068,Female,52
59,10-06-2024,North,John Doe,Electronics,322,29440,Male,25
82,14-06-2024,East,John Doe,Furniture,130,16740,Female,25
45,15-06-2024,West,Sarah Lee,Electronics,79,11078,Female,36
99,21-06-2024,West,Nancy Grey,Electronics,216,36934,Female,42
14,22-06-2024,South,Jane Smith,Automobiles,332,679,Female,26
38,24-06-2024,West,Nancy Grey,Electronics,115,14076,Female,42
19,26-06-2024,West,Chris Green,Automobiles,443,50652,Male,49
78,26-06-2024,South,Jane Smith,Automobiles,465,679,Female,26
7,29-06-2024,West,Andrew Blue,Machinery,68,11696,Male,28
13,29-06-2024,North,John Doe,Electronics,435,64090,Female,25
77,05-07-2024,West,Nancy Grey,Furniture,115,34804,Female,42
39,16-07-2024,North,Sarah Lee,Automobiles,248,12870,Female,36
102,24-07-2024,East,Jane Smith,Automobiles,376,679,Female,26
111,24-07-2024,North,Jane Smith,Electronics,319,4221,Male,26
3,31-07-2024,North,Sarah Lee,Machinery,478,76076,Male,36
73,02-08-2024,West,Nancy Grey,Machinery,265,12320,Female,42
10,04-08-2024,West,Nancy Grey,Automobiles,396,38480,Female,42
54,06-08-2024,West,David White,Automobiles,429,58208,Male,28
63,06-08-2024,East,John Doe,Automobiles,305,3186,Female,25
27,07-08-2024,West,Nancy Grey,Electronics,422,13490,Female,42
23,16-08-2024,North,Andrew Blue,Automobiles,90,42328,Female,28
95,17-08-2024,North,Nancy Grey,Furniture,306,679,Female,42
112,23-08-2024,East,Emily Davis,Automobiles,62,31500,Male,25
26,26-08-2024,West,Nancy Grey,Automobiles,406,47880,Male,42
69,28-08-2024,East,Sarah Lee,Furniture,183,679,Male,36
31,08-09-2024,North,Nancy Grey,Electronics,369,5246,Male,42
79,09-09-2024,East,Nancy Grey,Machinery,519,45312,Male,42
55,14-09-2024,South,Nancy Grey,Furniture,491,59458,Male,42
